TIMESTAMP,DATA,SENSOR
2024-10-12 23:34:39.150,0.003337264,A2
2024-10-12 23:34:39.200,-0.0002452135,A1
2024-10-12 23:34:39.200,0.003585696,A2
2024-10-12 23:34:39.250,-0.0003246069,A1
2024-10-12 23:34:39.250,0.003147483,A2
2024-10-12 23:34:39.300,-0.0007447004,A1
2024-10-12 23:34:39.300,0.003242493,A2
2024-10-12 23:34:39.350,-0.0005273819,A1
2024-10-12 23:34:39.350,0.003435969,A2
2024-10-12 23:34:39.400,1.609325e-05,A1
2024-10-12 23:34:39.400,0.00328362,A2
2024-10-12 23:34:39.450,-0.0004343987,A1
2024-10-12 23:34:39.450,0.003838301,A2
2024-10-12 23:34:39.500,-0.0002653599,A1
2024-10-12 23:34:39.500,0.003621221,A2
2024-10-12 23:34:39.550,-0.0005153418,A1
2024-10-12 23:34:39.550,0.003834963,A2
2024-10-12 23:34:40.600,-0.0009921789,A1
2024-10-12 23:34:40.600,0.003715754,A2
2024-10-12 23:34:40.650,-0.0004535913,A1
2024-10-12 23:34:40.650,0.003683686,A2
2024-10-12 23:34:40.700,-0.0001033545,A1
2024-10-12 23:34:40.700,0.003547549,A2
2024-10-12 23:34:40.750,-0.001177788,A1
2024-10-12 23:34:40.750,0.003450513,A2
2024-10-12 23:34:40.800,0.0001933575,A1
2024-10-12 23:34:40.800,0.003433704,A2
2024-10-12 23:34:40.850,-0.000377059,A1
2024-10-12 23:34:40.850,0.003321767,A2
2024-10-12 23:34:40.900,-3.147125e-05,A1
2024-10-12 23:34:40.900,0.00369072,A2
2024-10-12 23:34:40.950,-0.000292182,A1
2024-10-12 23:34:40.950,0.003461123,A2
2024-10-12 23:34:40.000,-0.0004851818,A1
2024-10-12 23:34:40.000,0.003129005,A2
2024-10-12 23:34:40.050,-0.0009804964,A1
2024-10-12 23:34:40.050,0.00318718,A2
2024-10-12 23:34:40.100,0.0003325939,A1
2024-10-12 23:34:40.100,0.003542662,A2
2024-10-12 23:34:40.150,-0.0006788969,A1
2024-10-12 23:34:40.150,0.003897429,A2
2024-10-12 23:34:40.200,-0.0005166531,A1
2024-10-12 23:34:40.200,0.003054261,A2
